country,Year,month,start,end,dengue
VIET NAM,1994,2.0,1994-02-01,1994-02-28,1095
VIET NAM,1994,3.0,1994-03-01,1994-03-31,1199
VIET NAM,1994,4.0,1994-04-01,1994-04-30,1719
VIET NAM,1994,5.0,1994-05-01,1994-05-31,2208
VIET NAM,1994,6.0,1994-06-01,1994-06-30,3686
VIET NAM,1994,7.0,1994-07-01,1994-07-31,5160
VIET NAM,1994,8.0,1994-08-01,1994-08-31,4580
VIET NAM,1994,9.0,1994-09-01,1994-09-30,4520
VIET NAM,1994,10.0,1994-10-01,1994-10-31,4428
VIET NAM,1994,11.0,1994-11-01,1994-11-30,2777
VIET NAM,1994,12.0,1994-12-01,1994-12-31,1346
VIET NAM,1995,1.0,1995-01-01,1995-01-31,1559
VIET NAM,1995,2.0,1995-02-01,1995-02-28,1128
VIET NAM,1995,3.0,1995-03-01,1995-03-31,1464
VIET NAM,1995,4.0,1995-04-01,1995-04-30,1607
VIET NAM,1995,5.0,1995-05-01,1995-05-31,2766
VIET NAM,1995,6.0,1995-06-01,1995-06-30,4648
VIET NAM,1995,7.0,1995-07-01,1995-07-31,6653
VIET NAM,1995,8.0,1995-08-01,1995-08-31,10106
VIET NAM,1995,9.0,1995-09-01,1995-09-30,10406
VIET NAM,1995,10.0,1995-10-01,1995-10-31,9515
VIET NAM,1995,11.0,1995-11-01,1995-11-30,7778
VIET NAM,1995,12.0,1995-12-01,1995-12-31,5735
VIET NAM,1996,1.0,1996-01-01,1996-01-31,2779
VIET NAM,1996,2.0,1996-02-01,1996-02-29,1650
VIET NAM,1996,3.0,1996-03-01,1996-03-31,1746
VIET NAM,1996,4.0,1996-04-01,1996-04-30,2295
VIET NAM,1996,5.0,1996-05-01,1996-05-31,4055
VIET NAM,1996,6.0,1996-06-01,1996-06-30,10137
VIET NAM,1996,7.0,1996-07-01,1996-07-31,9900
VIET NAM,1996,8.0,1996-08-01,1996-08-31,9438
VIET NAM,1996,9.0,1996-09-01,1996-09-30,8321
VIET NAM,1996,10.0,1996-10-01,1996-10-31,9451
VIET NAM,1996,11.0,1996-11-01,1996-11-30,6614
VIET NAM,1996,12.0,1996-12-01,1996-12-31,4610
VIET NAM,1997,1.0,1997-01-01,1997-01-31,3873
VIET NAM,1997,2.0,1997-02-01,1997-02-28,2151
VIET NAM,1997,3.0,1997-03-01,1997-03-31,1817
VIET NAM,1997,4.0,1997-04-01,1997-04-30,2345
VIET NAM,1997,5.0,1997-05-01,1997-05-31,2788
VIET NAM,1997,6.0,1997-06-01,1997-06-30,4989
VIET NAM,1997,7.0,1997-07-01,1997-07-31,8978
VIET NAM,1997,8.0,1997-08-01,1997-08-31,11399
VIET NAM,1997,9.0,1997-09-01,1997-09-30,14176
VIET NAM,1997,10.0,1997-10-01,1997-10-31,13989
VIET NAM,1997,11.0,1997-11-01,1997-11-30,11515
VIET NAM,1997,12.0,1997-12-01,1997-12-31,10583
VIET NAM,1998,1.0,1998-01-01,1998-01-31,7224
VIET NAM,1998,2.0,1998-02-01,1998-02-28,4441
VIET NAM,1998,3.0,1998-03-01,1998-03-31,4071
VIET NAM,1998,4.0,1998-04-01,1998-04-30,6156
VIET NAM,1998,5.0,1998-05-01,1998-05-31,7913
VIET NAM,1998,6.0,1998-06-01,1998-06-30,12082
VIET NAM,1998,7.0,1998-07-01,1998-07-31,24087
VIET NAM,1998,8.0,1998-08-01,1998-08-31,29315
VIET NAM,1998,9.0,1998-09-01,1998-09-30,21713
VIET NAM,1998,10.0,1998-10-01,1998-10-31,14931
VIET NAM,1998,11.0,1998-11-01,1998-11-30,10827
VIET NAM,1998,12.0,1998-12-01,1998-12-31,6267
VIET NAM,1999,1.0,1999-01-01,1999-01-31,3334
VIET NAM,1999,2.0,1999-02-01,1999-02-28,1384
VIET NAM,1999,3.0,1999-03-01,1999-03-31,1677
VIET NAM,1999,4.0,1999-04-01,1999-04-30,2231
VIET NAM,1999,5.0,1999-05-01,1999-05-31,3133
VIET NAM,1999,6.0,1999-06-01,1999-06-30,2606
VIET NAM,1999,7.0,1999-07-01,1999-07-31,2562
VIET NAM,1999,8.0,1999-08-01,1999-08-31,2130
VIET NAM,1999,9.0,1999-09-01,1999-09-30,2260
VIET NAM,1999,10.0,1999-10-01,1999-10-31,2389
VIET NAM,1999,11.0,1999-11-01,1999-11-30,2047
VIET NAM,1999,12.0,1999-12-01,1999-12-31,1426
VIET NAM,2000,1.0,2000-01-01,2000-01-31,921
VIET NAM,2000,2.0,2000-02-01,2000-02-29,579
VIET NAM,2000,3.0,2000-03-01,2000-03-31,853
VIET NAM,2000,4.0,2000-04-01,2000-04-30,1046
VIET NAM,2000,5.0,2000-05-01,2000-05-31,2489
VIET NAM,2000,6.0,2000-06-01,2000-06-30,2706
VIET NAM,2000,7.0,2000-07-01,2000-07-31,2619
VIET NAM,2000,8.0,2000-08-01,2000-08-31,2753
VIET NAM,2000,9.0,2000-09-01,2000-09-30,2230
VIET NAM,2000,10.0,2000-10-01,2000-10-31,2293
VIET NAM,2000,11.0,2000-11-01,2000-11-30,1848
VIET NAM,2000,12.0,2000-12-01,2000-12-31,1524
VIET NAM,2001,1.0,2001-01-01,2001-01-31,1336
VIET NAM,2001,2.0,2001-02-01,2001-02-28,1254
VIET NAM,2001,3.0,2001-03-01,2001-03-31,1084
VIET NAM,2001,4.0,2001-04-01,2001-04-30,1395
VIET NAM,2001,5.0,2001-05-01,2001-05-31,2533
VIET NAM,2001,6.0,2001-06-01,2001-06-30,5120
VIET NAM,2001,7.0,2001-07-01,2001-07-31,5779
VIET NAM,2001,8.0,2001-08-01,2001-08-31,4890
VIET NAM,2001,9.0,2001-09-01,2001-09-30,4129
VIET NAM,2001,10.0,2001-10-01,2001-10-31,3240
VIET NAM,2001,11.0,2001-11-01,2001-11-30,1937
VIET NAM,2001,12.0,2001-12-01,2001-12-31,1445
VIET NAM,2002,1.0,2002-01-01,2002-01-31,1018
VIET NAM,2002,2.0,2002-02-01,2002-02-28,580
VIET NAM,2002,3.0,2002-03-01,2002-03-31,619
VIET NAM,2002,4.0,2002-04-01,2002-04-30,899
VIET NAM,2002,5.0,2002-05-01,2002-05-31,1377
VIET NAM,2002,6.0,2002-06-01,2002-06-30,1826
VIET NAM,2002,7.0,2002-07-01,2002-07-31,3254
VIET NAM,2002,8.0,2002-08-01,2002-08-31,3046
VIET NAM,2002,9.0,2002-09-01,2002-09-30,2917
VIET NAM,2002,10.0,2002-10-01,2002-10-31,3981
VIET NAM,2002,11.0,2002-11-01,2002-11-30,2909
VIET NAM,2002,12.0,2002-12-01,2002-12-31,1971
VIET NAM,2003,1.0,2003-01-01,2003-01-31,1883
VIET NAM,2003,2.0,2003-02-01,2003-02-28,1241
VIET NAM,2003,3.0,2003-03-01,2003-03-31,1603
VIET NAM,2003,4.0,2003-04-01,2003-04-30,1720
VIET NAM,2003,5.0,2003-05-01,2003-05-31,1996
VIET NAM,2003,6.0,2003-06-01,2003-06-30,3005
VIET NAM,2003,7.0,2003-07-01,2003-07-31,3956
VIET NAM,2003,8.0,2003-08-01,2003-08-31,4253
VIET NAM,2003,9.0,2003-09-01,2003-09-30,4647
VIET NAM,2003,10.0,2003-10-01,2003-10-31,5658
VIET NAM,2003,11.0,2003-11-01,2003-11-30,5034
VIET NAM,2003,12.0,2003-12-01,2003-12-31,4370
VIET NAM,2004,1.0,2004-01-01,2004-01-31,2703
VIET NAM,2004,2.0,2004-02-01,2004-02-29,2346
VIET NAM,2004,3.0,2004-03-01,2004-03-31,2202
VIET NAM,2004,4.0,2004-04-01,2004-04-30,3106
VIET NAM,2004,5.0,2004-05-01,2004-05-31,4110
VIET NAM,2004,6.0,2004-06-01,2004-06-30,7031
VIET NAM,2004,7.0,2004-07-01,2004-07-31,10424
VIET NAM,2004,8.0,2004-08-01,2004-08-31,7836
VIET NAM,2004,9.0,2004-09-01,2004-09-30,8121
VIET NAM,2004,10.0,2004-10-01,2004-10-31,6394
VIET NAM,2004,11.0,2004-11-01,2004-11-30,5484
VIET NAM,2004,12.0,2004-12-01,2004-12-31,3985
VIET NAM,2005,1.0,2005-01-01,2005-01-31,2478
VIET NAM,2005,2.0,2005-02-01,2005-02-28,1311
VIET NAM,2005,3.0,2005-03-01,2005-03-31,1504
VIET NAM,2005,4.0,2005-04-01,2005-04-30,1951
VIET NAM,2005,5.0,2005-05-01,2005-05-31,2269
VIET NAM,2005,6.0,2005-06-01,2005-06-30,3341
VIET NAM,2005,7.0,2005-07-01,2005-07-31,5179
VIET NAM,2005,8.0,2005-08-01,2005-08-31,6008
VIET NAM,2005,9.0,2005-09-01,2005-09-30,6930
VIET NAM,2005,10.0,2005-10-01,2005-10-31,7831
VIET NAM,2005,11.0,2005-11-01,2005-11-30,7111
VIET NAM,2005,12.0,2005-12-01,2005-12-31,4151
VIET NAM,2006,1.0,2006-01-01,2006-01-31,2949
VIET NAM,2006,2.0,2006-02-01,2006-02-28,2345
VIET NAM,2006,3.0,2006-03-01,2006-03-31,2281
VIET NAM,2006,4.0,2006-04-01,2006-04-30,2364
VIET NAM,2006,5.0,2006-05-01,2006-05-31,3125
VIET NAM,2006,6.0,2006-06-01,2006-06-30,4814
VIET NAM,2006,7.0,2006-07-01,2006-07-31,6571
VIET NAM,2006,8.0,2006-08-01,2006-08-31,6859
VIET NAM,2006,9.0,2006-09-01,2006-09-30,6201
VIET NAM,2006,10.0,2006-10-01,2006-10-31,6889
VIET NAM,2006,11.0,2006-11-01,2006-11-30,6487
VIET NAM,2006,12.0,2006-12-01,2006-12-31,4937
VIET NAM,2007,1.0,2007-01-01,2007-01-31,3158
VIET NAM,2007,2.0,2007-02-01,2007-02-28,1491
VIET NAM,2007,3.0,2007-03-01,2007-03-31,2114
VIET NAM,2007,4.0,2007-04-01,2007-04-30,3259
VIET NAM,2007,5.0,2007-05-01,2007-05-31,5485
VIET NAM,2007,6.0,2007-06-01,2007-06-30,12099
VIET NAM,2007,7.0,2007-07-01,2007-07-31,14723
VIET NAM,2007,8.0,2007-08-01,2007-08-31,13487
VIET NAM,2007,9.0,2007-09-01,2007-09-30,12588
VIET NAM,2007,10.0,2007-10-01,2007-10-31,10449
VIET NAM,2007,11.0,2007-11-01,2007-11-30,7564
VIET NAM,2007,12.0,2007-12-01,2007-12-31,5001
VIET NAM,2008,1.0,2008-01-01,2008-01-31,3390
VIET NAM,2008,2.0,2008-02-01,2008-02-29,1907
VIET NAM,2008,3.0,2008-03-01,2008-03-31,1862
VIET NAM,2008,4.0,2008-04-01,2008-04-30,2175
VIET NAM,2008,5.0,2008-05-01,2008-05-31,3526
VIET NAM,2008,6.0,2008-06-01,2008-06-30,7298
VIET NAM,2008,7.0,2008-07-01,2008-07-31,11299
VIET NAM,2008,8.0,2008-08-01,2008-08-31,10195
VIET NAM,2008,9.0,2008-09-01,2008-09-30,10433
VIET NAM,2008,10.0,2008-10-01,2008-10-31,11681
VIET NAM,2008,11.0,2008-11-01,2008-11-30,10042
VIET NAM,2008,12.0,2008-12-01,2008-12-31,7775
VIET NAM,2009,1.0,2009-01-01,2009-01-31,4323
VIET NAM,2009,2.0,2009-02-01,2009-02-28,3151
VIET NAM,2009,3.0,2009-03-01,2009-03-31,2922
VIET NAM,2009,4.0,2009-04-01,2009-04-30,3398
VIET NAM,2009,5.0,2009-05-01,2009-05-31,5412
VIET NAM,2009,6.0,2009-06-01,2009-06-30,8827
VIET NAM,2009,7.0,2009-07-01,2009-07-31,10747
VIET NAM,2009,8.0,2009-08-01,2009-08-31,11863
VIET NAM,2009,9.0,2009-09-01,2009-09-30,12397
VIET NAM,2009,10.0,2009-10-01,2009-10-31,11456
VIET NAM,2009,11.0,2009-11-01,2009-11-30,9739
VIET NAM,2009,12.0,2009-12-01,2009-12-31,5264
VIET NAM,2010,1.0,2010-01-01,2010-01-31,3382
VIET NAM,2010,2.0,2010-02-01,2010-02-28,1910
VIET NAM,2010,3.0,2010-03-01,2010-03-31,2169
VIET NAM,2010,4.0,2010-04-01,2010-04-30,2125
VIET NAM,2010,5.0,2010-05-01,2010-05-31,2765
VIET NAM,2010,6.0,2010-06-01,2010-06-30,4486
VIET NAM,2010,7.0,2010-07-01,2010-07-31,10734
VIET NAM,2010,8.0,2010-08-01,2010-08-31,15169
VIET NAM,2010,9.0,2010-09-01,2010-09-30,15395
VIET NAM,2010,10.0,2010-10-01,2010-10-31,14411
VIET NAM,2010,11.0,2010-11-01,2010-11-30,10070
VIET NAM,2010,12.0,2010-12-01,2010-12-31,6639
